,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
0,7.8,7.2,7.2,0.5199999999999999,0.5199999999999999,0.5199999999999999,0.41126185027786855,0.6731711780920303,0.0,0.0,5867.0,57458.0,1450.0,761.0,0.9662628173828125,0.8018313516468498,0.8851840675920338,0.8414485478666188,0.9753853466422218,0.726293637038871
1,12.2,5.8,6.8,0.6777777777777778,0.6421052631578947,0.6594594594594595,0.5808681617837698,0.774203349535254,0.0,0.0,8122.0,55621.0,943.0,850.0,0.9726409912109375,0.8959735245449532,0.9052608114132857,0.9005932250374231,0.9833286189095538,0.8191628845184065
2,4.8,5.2,6.2,0.4800000000000001,0.43636363636363634,0.45714285714285713,0.35827300150829566,0.6406237903104309,0.0,0.0,3218.0,61254.0,729.0,335.0,0.9837646484375,0.8153027615910818,0.9057134815648747,0.8581333333333333,0.9882387106142007,0.7515179822512844
3,9.3,6.7,5.7,0.58125,0.62,0.6,0.4802226700502562,0.7478628992247469,0.0,1.0,6356.0,57248.0,1075.0,857.0,0.97052001953125,0.8553357556183555,0.8811867461527797,0.8680688336520076,0.9815681635032492,0.7668918918918919
4,7.6,3.4,3.4,0.6909090909090909,0.6909090909090909,0.6909090909090909,0.6183333333333334,0.8269159662705781,0.0,0.0,5603.0,58755.0,786.0,392.0,0.982025146484375,0.8769760525903897,0.9346121768140117,0.9048772609819121,0.9867990124452058,0.8262793098363074
5,4.5,4.5,2.5,0.5,0.6428571428571428,0.5625,0.4446819846819848,0.795583794586957,0.0,0.0,3895.0,60706.0,671.0,264.0,0.9857330322265625,0.8530442400350416,0.9365232026929551,0.8928366762177651,0.9890675660263617,0.8064182194616977
6,12.1,4.9,6.9,0.711764705882353,0.6368421052631579,0.6722222222222223,0.5514388909441383,0.7302249580432651,0.0,0.0,6456.0,58028.0,601.0,451.0,0.98394775390625,0.9148363327192858,0.934703923555813,0.9246634202234317,0.9897491002746082,0.8598827916888652
7,8.6,2.4,2.4,0.7818181818181817,0.7818181818181817,0.7818181818181817,0.7167377720318896,0.8623715057250882,0.0,0.0,5710.0,58951.0,483.0,392.0,0.9866485595703125,0.922008719522041,0.9357587676171747,0.9288328588857259,0.9918733384931184,0.8671222475322703
8,5.2,9.8,8.8,0.3466666666666666,0.37142857142857144,0.3586206896551724,0.23573884810841333,0.5716623128421804,0.0,0.0,4498.0,58338.0,1449.0,1251.0,0.95880126953125,0.7563477383554733,0.7823969385980171,0.7691518467852257,0.9757639620653319,0.6248958043901084
9,10.1,6.9,8.9,0.5941176470588234,0.531578947368421,0.5611111111111111,0.4385840066979497,0.6375997051907276,0.0,0.0,8014.0,55204.0,858.0,1460.0,0.964630126953125,0.9032912533814247,0.8458940257546971,0.8736509320832879,0.9846955156790697,0.775648470770422
10,10.0,13.0,7.0,0.4347826086956522,0.588235294117647,0.5,0.3694158459675701,0.7544085101397823,0.0,0.0,6736.0,56868.0,642.0,1290.0,0.97052001953125,0.9129845486581729,0.8392723648143533,0.8745780316800831,0.9888367240479916,0.777111213659437
11,9.2,9.8,6.8,0.48421052631578937,0.575,0.5257142857142857,0.39961644023730625,0.7175128132442528,0.0,0.0,6983.0,56616.0,973.0,964.0,0.9704437255859375,0.8777023629964806,0.8786963634075752,0.8781990819342262,0.9831044123009602,0.782847533632287
12,9.5,7.5,8.5,0.5588235294117647,0.5277777777777778,0.5428571428571428,0.43040927854395344,0.7127929820686962,0.0,0.0,6343.0,56968.0,968.0,1257.0,0.9660491943359375,0.8675967719874162,0.8346052631578947,0.8507813023942056,0.9832919083126208,0.74031279178338
13,2.3,2.7,3.7,0.4600000000000001,0.38333333333333325,0.41818181818181815,0.2881746031746032,0.5628651403709408,0.0,0.0,1276.0,63501.0,549.0,210.0,0.9884185791015625,0.6991780821917808,0.8586810228802153,0.770764119601329,0.9914285714285714,0.6270270270270271
14,12.6,3.4,4.4,0.7875,0.7411764705882352,0.7636363636363637,0.6982866479925304,0.812306327291876,0.0,0.0,7122.0,57141.0,476.0,797.0,0.9805755615234375,0.937351934719663,0.8993559792903144,0.9179609460591609,0.9917385493864658,0.8483621203097081
15,1.8,4.2,2.2,0.3,0.45,0.36,0.24642857142857144,0.5965599798645902,0.0,0.0,1238.0,63620.0,483.0,195.0,0.989654541015625,0.7193492155723417,0.8639218422889045,0.7850348763474952,0.9924652512362916,0.6461377870563675
16,13.0,10.0,10.0,0.5652173913043479,0.5652173913043479,0.5652173913043479,0.44767809313415546,0.7038217360889572,0.0,0.0,7748.0,55570.0,1135.0,1083.0,0.966156005859375,0.8722278509512552,0.877363831955611,0.8747883030371457,0.9799841283837404,0.7774433072446317
