,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
11,10.5,7.5,6.5,0.5833333333333333,0.6176470588235293,0.5999999999999999,0.491198752228164,0.7412731603241942,0.0,0.0,6077.0,58125.0,567.0,767.0,0.979644775390625,0.9146598434677905,0.8879310344827587,0.9010972716488731,0.9903393988959313,0.8199973013088652
12,11.7,15.3,14.3,0.4333333333333333,0.45,0.44150943396226416,0.31518990666518154,0.6320674895624706,1.0,0.0,6600.0,55745.0,1048.0,2143.0,0.9513092041015625,0.8629707112970711,0.7548896259865034,0.8053199926789092,0.9815470216399909,0.6740884485752221
13,11.1,6.9,6.9,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.49570572181441747,0.7583670083506872,0.0,0.0,6860.0,57123.0,558.0,995.0,0.9763031005859375,0.924777568077649,0.8733290897517505,0.8983172919531199,0.9903261039163677,0.8154047307738025
14,8.5,6.5,6.5,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.4471555618294748,0.7248769715055554,0.0,0.0,3323.0,61038.0,642.0,533.0,0.9820709228515625,0.8380832282471626,0.8617738589211619,0.8497634573583941,0.989591439688716,0.7387727879057359
15,9.1,8.9,7.9,0.5055555555555555,0.5352941176470588,0.52,0.3945483400605104,0.707695711018275,0.0,0.0,4893.0,58592.0,977.0,1074.0,0.9687042236328125,0.8335604770017035,0.8200100553041729,0.826729745712596,0.9835988517517501,0.7046370967741935
16,19.6,13.4,12.4,0.5939393939393939,0.6125,0.6030769230769232,0.49275830708757534,0.7545326769223228,0.0,0.0,8799.0,54699.0,1298.0,740.0,0.968902587890625,0.8714469644448846,0.9224237341440402,0.8962110409452027,0.9768201867957212,0.8119405739595829
17,16.9,13.1,11.1,0.5633333333333334,0.6035714285714285,0.5827586206896551,0.4606534333301694,0.7302106801706703,0.0,0.0,7033.0,56753.0,930.0,820.0,0.973297119140625,0.8832098455356021,0.8955813065070674,0.8893525543753161,0.9838773988870204,0.800751451667995
18,20.5,18.5,19.5,0.5256410256410257,0.5125000000000001,0.5189873417721519,0.4100622657679215,0.6965604440513464,0.0,0.0,9686.0,52788.0,1648.0,1414.0,0.953277587890625,0.8545967884242104,0.8726126126126126,0.8635107426228047,0.9697259166727901,0.7598054596799498
19,20.1,15.9,15.9,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.44072380374062947,0.7001620267937539,1.0,1.0,10098.0,53114.0,1575.0,749.0,0.96453857421875,0.8650732459521974,0.9309486493961464,0.8968028419182948,0.9712007899211907,0.8129125744646595
20,15.6,15.4,12.4,0.5032258064516129,0.5571428571428572,0.5288135593220339,0.4212678605325767,0.7264496035379817,0.0,0.0,7691.0,55641.0,1286.0,918.0,0.96636962890625,0.8567450150384316,0.893367406202811,0.8746730353690435,0.9774096650095737,0.7772612430520465
21,12.9,6.1,7.1,0.6789473684210526,0.6449999999999999,0.6615384615384616,0.5463509316770185,0.7222061464052791,0.0,0.0,5100.0,59383.0,539.0,514.0,0.9839324951171875,0.9044156765383934,0.908443177769861,0.9064249533457744,0.991004973131738,0.8288639687957094
22,11.5,9.5,9.5,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.42754622792553826,0.7034586355855632,0.0,0.0,5506.0,58716.0,839.0,475.0,0.979949951171875,0.8677698975571316,0.920581842501254,0.8933960733409054,0.9859121820166233,0.8073313782991203
23,2.8,1.2,1.2,0.7,0.7,0.7,0.6409523809523809,0.8299387089115949,0.0,0.0,803.0,64561.0,73.0,99.0,0.99737548828125,0.9166666666666666,0.8902439024390244,0.9032620922384702,0.9988705634805211,0.8235897435897436
24,6.9,5.1,4.1,0.575,0.6272727272727272,0.6000000000000001,0.4806678447971019,0.775729375525522,0.0,0.0,4037.0,60718.0,365.0,416.0,0.9880828857421875,0.917083144025443,0.9065798338198967,0.9118012422360249,0.9940245240083165,0.8378995433789954
25,13.9,11.1,12.1,0.556,0.5346153846153847,0.5450980392156863,0.42346809560380205,0.7076280022798385,0.0,0.0,7419.0,55748.0,1357.0,1012.0,0.9638519287109375,0.8453737465815861,0.8799667892302218,0.8623234730051723,0.9762367568514141,0.7579689415610952
26,15.8,40.2,40.2,0.28214285714285714,0.28214285714285714,0.28214285714285714,0.17950060794805509,0.5004084481731795,1.0,0.0,7932.0,50552.0,2971.0,4081.0,0.89239501953125,0.7275061909566174,0.6602846915841172,0.6922674114156048,0.944491153335949,0.5293646556326749
27,3.6,10.4,4.4,0.2571428571428571,0.45,0.32727272727272727,0.22643557422969188,0.6441653862874407,0.0,0.0,2704.0,61882.0,543.0,407.0,0.985504150390625,0.832768709578072,0.8691738990678238,0.8505819440075495,0.9913015618742491,0.7400109469074986
28,26.3,27.7,29.7,0.48703703703703705,0.46964285714285714,0.4781818181818182,0.36487249834710384,0.6626644546699874,2.0,3.0,11446.0,49879.0,2175.0,2036.0,0.9357452392578125,0.8403200939725424,0.8489838302922416,0.8446297457845995,0.9582164675145042,0.7310468161205851
29,29.8,48.2,42.2,0.382051282051282,0.4138888888888889,0.3973333333333333,0.2796955550250252,0.6400765708592521,4.0,5.0,14415.0,44529.0,3665.0,2927.0,0.8994140625,0.7972898230088495,0.8312190058816745,0.8139009655016657,0.9239531891936755,0.6861998381491884
30,23.1,68.9,55.9,0.2510869565217392,0.2924050632911393,0.2701754385964912,0.1731712740900777,0.5667850938683097,3.0,6.0,13288.0,44627.0,3750.0,3871.0,0.8837127685546875,0.779903744570959,0.7744041028031936,0.7771441939351406,0.9224838249581413,0.6355158065904635
31,29.2,51.8,39.8,0.36049382716049383,0.4231884057971015,0.38933333333333336,0.28431065963392405,0.6658134754729648,0.0,1.0,13049.0,45596.0,3785.0,3106.0,0.8948516845703125,0.7751574195081383,0.8077375425564841,0.7911121889114553,0.9233510864502541,0.6544132397191574
32,23.1,49.9,43.9,0.3164383561643836,0.3447761194029851,0.32999999999999996,0.21768266680505938,0.5905990925136207,4.0,4.0,12370.0,46200.0,3906.0,3060.0,0.893707275390625,0.7600147456377488,0.8016850291639663,0.7802939506717972,0.9220452640402347,0.6397393462970625
33,31.7,52.3,50.3,0.3773809523809524,0.38658536585365855,0.3819277108433735,0.262923894911129,0.6185667964542552,5.0,5.0,14584.0,44480.0,3669.0,2803.0,0.9012451171875,0.7989919465293377,0.838787599930983,0.8184062850729518,0.9237990404785146,0.692629179331307
34,32.3,53.7,48.7,0.3755813953488372,0.39876543209876547,0.38682634730538923,0.266307755236661,0.6233781410723525,4.0,6.0,14220.0,44680.0,3814.0,2822.0,0.89874267578125,0.7885105911056892,0.8344091069123343,0.8108108108108109,0.9213510949808223,0.6818181818181818
35,30.6,52.4,47.4,0.3686746987951807,0.3923076923076923,0.38012422360248443,0.2667042197927859,0.6254654850225173,1.0,2.0,12694.0,46276.0,2911.0,3655.0,0.899810791015625,0.8134572252483179,0.7764389259281913,0.794517118357639,0.9408176957326123,0.6590861889927311
36,24.1,42.9,46.9,0.3597014925373134,0.33943661971830985,0.3492753623188406,0.23625329829732436,0.5603675386148933,3.0,2.0,10393.0,49335.0,2528.0,3280.0,0.911376953125,0.8043495085519696,0.7601111679953192,0.7816048732796872,0.9512561942039605,0.6415036108882167
37,20.7,35.3,39.3,0.3696428571428571,0.34500000000000003,0.3568965517241379,0.24496213554013146,0.574154673240914,3.0,3.0,11069.0,48607.0,3156.0,2704.0,0.91058349609375,0.7781370826010545,0.8036738546431423,0.7906993356668334,0.9390298089368854,0.6538484257782503
38,21.9,55.1,45.1,0.2844155844155844,0.32686567164179103,0.30416666666666664,0.19804115389116175,0.5461706244626999,4.0,5.0,13553.0,44814.0,3878.0,3291.0,0.8906097412109375,0.7775228041994149,0.8046188553787699,0.790838803792852,0.9203565267395054,0.654039185406814
39,20.5,11.5,10.5,0.640625,0.6612903225806452,0.6507936507936508,0.5408976417192078,0.7890087269516701,0.0,0.0,6922.0,57076.0,696.0,842.0,0.976531982421875,0.9086374376476766,0.8915507470376095,0.9000130022103757,0.987952641417988,0.8182033096926714
