epoch,ResNet34_train_iou,ResNet34_val_iou,LambdaResNet26t_train_iou,LambdaResNet26t_val_iou,SwinNet26t_train_iou,SwinNet26t_val_iou,HaloNet26t_train_iou,HaloNet26t_val_iou,BoTNet26t_train_iou,BoTNet26t_val_iou
0,0.2818466126918793,0.4066993594169617,0.25628945231437683,0.3313885033130646,0.27688661217689514,0.3838289976119995,0.2611833214759827,0.35137468576431274,0.3033822178840637,0.3874560296535492
1,0.4567753970623016,0.4996074438095093,0.363888680934906,0.4068831205368042,0.4116569459438324,0.433464378118515,0.3778367340564728,0.4059779047966003,0.41567203402519226,0.4507340788841248
2,0.5321769714355469,0.5157372951507568,0.4127746224403381,0.42544376850128174,0.4579066038131714,0.4780616462230682,0.423614889383316,0.4289485216140747,0.4612687826156616,0.4706005454063416
3,0.5731878280639648,0.5639906525611877,0.4443012177944183,0.4621721208095551,0.4853281378746033,0.4912983775138855,0.4558223187923432,0.4764226377010346,0.4904539585113525,0.5029477477073669
4,0.5941623449325562,0.5790258049964905,0.4681204557418823,0.44817981123924255,0.5028898119926453,0.5080150961875916,0.4781086146831513,0.4932421445846558,0.5091866254806519,0.5228013396263123
5,0.6085212230682373,0.5851211547851562,0.4839951992034912,0.4965485036373138,0.5151336789131165,0.5223655700683594,0.4984595775604248,0.4999155402183533,0.5260776281356812,0.5345470309257507
6,0.6160244941711426,0.5935572385787964,0.4956911206245422,0.512468695640564,0.5283178687095642,0.536424994468689,0.5125755071640015,0.5255362391471863,0.5353366732597351,0.5452563762664795
7,0.6243096590042114,0.6026473641395569,0.514025092124939,0.5162520408630371,0.5376179218292236,0.5427864193916321,0.5270988345146179,0.5315694808959961,0.5448448061943054,0.5425369143486023
8,0.6292487382888794,0.6049500107765198,0.5188618302345276,0.5323864817619324,0.5450989603996277,0.5487093925476074,0.5357542634010315,0.5460928082466125,0.5544388890266418,0.5632843971252441
9,0.6319795846939087,0.6010897159576416,0.5264830589294434,0.5384454131126404,0.5525844097137451,0.5614026188850403,0.5406264662742615,0.5481886267662048,0.5625446438789368,0.5661461353302002
10,0.6351105570793152,0.6006196141242981,0.5346630215644836,0.5436608791351318,0.5643603801727295,0.5624896883964539,0.5519483685493469,0.5635785460472107,0.5700235366821289,0.579164981842041
11,0.6376685500144958,0.6154170632362366,0.540416419506073,0.557911217212677,0.5681242346763611,0.5729673504829407,0.5613307952880859,0.562279462814331,0.5774455070495605,0.5844247937202454
12,0.6438412070274353,0.6198572516441345,0.547775387763977,0.5616558790206909,0.5725364685058594,0.5763061046600342,0.5665814280509949,0.5728040337562561,0.5825464725494385,0.5839983820915222
13,0.64652019739151,0.6127795577049255,0.5527899861335754,0.568681538105011,0.5776483416557312,0.5732417702674866,0.5706300735473633,0.5760980844497681,0.5879774689674377,0.5974363088607788
14,0.6450611352920532,0.6108275055885315,0.5617885589599609,0.5704221725463867,0.5823960900306702,0.587177574634552,0.5739389657974243,0.5868431925773621,0.593808650970459,0.5907150506973267
15,0.6502895355224609,0.6180009245872498,0.5658886432647705,0.572551965713501,0.5883435010910034,0.5872271060943604,0.5809832811355591,0.5886513590812683,0.5961998105049133,0.6012853980064392
16,0.6519796848297119,0.6238744854927063,0.5673584342002869,0.5781005620956421,0.5907434821128845,0.5949059724807739,0.5852611660957336,0.5932062864303589,0.599493682384491,0.6047452688217163
17,0.6536637544631958,0.6136534810066223,0.5705435872077942,0.5861249566078186,0.5956596732139587,0.6003756523132324,0.5895788073539734,0.5896037220954895,0.6063556075096129,0.6096593141555786
18,0.654012143611908,0.6249344944953918,0.5738069415092468,0.5877933502197266,0.5989082455635071,0.6074369549751282,0.5945003032684326,0.5968327522277832,0.6030945181846619,0.6114242672920227
19,0.6570870280265808,0.6168517470359802,0.5800157189369202,0.5951507687568665,0.6034690141677856,0.6050902605056763,0.5934065580368042,0.5962108373641968,0.610794186592102,0.6157236695289612
20,0.6577801108360289,0.6211447715759277,0.5832520723342896,0.5920547246932983,0.6062737703323364,0.6077788472175598,0.6001420617103577,0.5967686772346497,0.6127158999443054,0.6201351284980774
21,0.6591137051582336,0.6280790567398071,0.5869787335395813,0.5992346405982971,0.608122706413269,0.610442042350769,0.6051827669143677,0.6031942963600159,0.6174343228340149,0.6200001239776611
22,0.6611219644546509,0.6300163269042969,0.5899714827537537,0.5996202230453491,0.6109331250190735,0.6076554656028748,0.6050746440887451,0.6070873141288757,0.6186634302139282,0.6202336549758911
23,0.6610278487205505,0.6274603009223938,0.5896589159965515,0.6044173836708069,0.6129024028778076,0.6135392189025879,0.6109749674797058,0.6147792339324951,0.6220132112503052,0.6284018754959106
24,0.6629694700241089,0.6229212284088135,0.5952311158180237,0.6083553433418274,0.6175137162208557,0.6178282499313354,0.612788200378418,0.6110975742340088,0.6250346899032593,0.6261805295944214
25,0.6648968458175659,0.6284904479980469,0.599194347858429,0.6104429364204407,0.6163556575775146,0.6285554766654968,0.615469217300415,0.6162339448928833,0.6278864741325378,0.6316712498664856
26,0.6655585765838623,0.6281818747520447,0.6003828048706055,0.6140086054801941,0.6242029666900635,0.6243550181388855,0.6189985871315002,0.6238471269607544,0.6279057860374451,0.6312214732170105
27,0.6670833230018616,0.6196832060813904,0.6073204874992371,0.6119533181190491,0.6239768862724304,0.6295197606086731,0.6207369565963745,0.619379997253418,0.6334683299064636,0.638597846031189
28,0.6678285598754883,0.6145479679107666,0.6031154990196228,0.6174242496490479,0.6245010495185852,0.6276512742042542,0.6226938962936401,0.6286688446998596,0.6331860423088074,0.6359310150146484
29,0.6686305999755859,0.6268336772918701,0.6057181358337402,0.6230024099349976,0.6290271282196045,0.6323176622390747,0.6230388879776001,0.6296775341033936,0.6365358829498291,0.6370581984519958
30,0.6692026853561401,0.6458166241645813,0.6099123358726501,0.6256194710731506,0.6293101906776428,0.6335732340812683,0.624893307685852,0.6280888915061951,0.638407826423645,0.6420671343803406
31,0.6703034043312073,0.635274350643158,0.6118574738502502,0.6246616840362549,0.6322929263114929,0.6421321630477905,0.6273416876792908,0.6302512884140015,0.6392444372177124,0.6468391418457031
32,0.668673574924469,0.6298412680625916,0.616532027721405,0.6274057626724243,0.6356047987937927,0.6319407820701599,0.6318706870079039,0.63010174036026,0.6394668817520142,0.644851803779602
33,0.670812726020813,0.632704496383667,0.6143351197242737,0.6306912899017334,0.6368779540061951,0.6400949358940125,0.6306006908416748,0.6353036165237427,0.6421521306037903,0.6442588567733765
34,0.6728079915046692,0.6344059705734253,0.620638906955719,0.6332297921180725,0.6363404989242554,0.6376243233680725,0.6308026313781738,0.6377838850021362,0.6423173546791077,0.6490494608879089
35,0.6733009815216064,0.6302326321601868,0.6232689023017883,0.6331444382667542,0.6401258707046509,0.6421793699264526,0.637886106967926,0.6393729448318481,0.6468524336814879,0.6501166820526123
36,0.6726407408714294,0.633130669593811,0.6211032271385193,0.6352126002311707,0.6406908631324768,0.6478177905082703,0.6382881999015808,0.6447031497955322,0.6473907232284546,0.6498196721076965
37,0.6760130524635315,0.6455416083335876,0.6236119270324707,0.6362168192863464,0.6423640251159668,0.6462075710296631,0.6378307342529297,0.6396915912628174,0.647938072681427,0.6542301177978516
38,0.674787163734436,0.6283853054046631,0.6213477849960327,0.6372857093811035,0.6442419290542603,0.6480548977851868,0.638633668422699,0.6402447819709778,0.6477524638175964,0.6503816843032837
39,0.6773911714553833,0.6409772634506226,0.6291630268096924,0.6415650248527527,0.6436671614646912,0.6468129754066467,0.6419764161109924,0.6449741125106812,0.6494613885879517,0.6551561951637268
40,0.6781396865844727,0.6453866362571716,0.6272944211959839,0.63808274269104,0.6449664235115051,0.6516679525375366,0.6409768462181091,0.6445609331130981,0.6524548530578613,0.6543249487876892
41,0.6804958581924438,0.655498743057251,0.6300554871559143,0.6437845826148987,0.6483252644538879,0.6585410833358765,0.6417533159255981,0.6480821371078491,0.6541831493377686,0.6521565318107605
42,0.6801934838294983,0.6417506337165833,0.6333978176116943,0.643315851688385,0.648128867149353,0.6523271203041077,0.6442926526069641,0.6482894420623779,0.6551279425621033,0.6562193036079407
43,0.6800205111503601,0.64817875623703,0.6318238973617554,0.6419734954833984,0.651240348815918,0.6490423679351807,0.6447804570198059,0.6457268595695496,0.6536689400672913,0.6621187329292297
44,0.6793860793113708,0.6368317604064941,0.6359477639198303,0.6419960260391235,0.6512224674224854,0.6552869081497192,0.6498294472694397,0.6513926386833191,0.6565057039260864,0.6594300866127014
45,0.6788362860679626,0.6311525702476501,0.6350695490837097,0.6417360901832581,0.6531851887702942,0.6557700037956238,0.6488586068153381,0.6499226689338684,0.656231701374054,0.660712480545044
46,0.6808680891990662,0.6389067769050598,0.6363233923912048,0.6516715884208679,0.6523517370223999,0.6558693647384644,0.6483332514762878,0.656575083732605,0.6575707197189331,0.6587441563606262
47,0.6821194887161255,0.6468572616577148,0.6367203593254089,0.6496722102165222,0.6526791453361511,0.6549877524375916,0.6504555344581604,0.6547367572784424,0.6593219041824341,0.665261447429657
48,0.6818370223045349,0.6528187394142151,0.6394358277320862,0.6520854234695435,0.6543649435043335,0.6621701717376709,0.65286785364151,0.6556407809257507,0.661636471748352,0.6663300395011902
49,0.6825438737869263,0.6479272246360779,0.6392450332641602,0.6529946327209473,0.6575759649276733,0.6601884961128235,0.6542567610740662,0.6538182497024536,0.66102135181427,0.6673240661621094
50,0.6853598952293396,0.6379749774932861,0.6422722935676575,0.6548402309417725,0.6584608554840088,0.6557631492614746,0.6506396532058716,0.6572087407112122,0.6638864874839783,0.6696016192436218
51,0.6840108036994934,0.6458183526992798,0.6411488056182861,0.6568869352340698,0.6573936939239502,0.6606868505477905,0.6545171141624451,0.6585649847984314,0.6649008989334106,0.6628408432006836
52,0.6867758631706238,0.640991747379303,0.6467748880386353,0.6546029448509216,0.6589281558990479,0.6586161255836487,0.6509112715721129,0.6569792628288269,0.6633803248405457,0.6680928468704224
53,0.6871295571327211,0.6474611759185791,0.6456968784332275,0.656387984752655,0.6599196791648865,0.6656203866004944,0.6539079546928406,0.6609541177749634,0.6634824275970459,0.6711180210113525
54,0.6859455108642578,0.6515358686447144,0.6453786492347717,0.6599240303039551,0.6593441963195801,0.6631081700325012,0.6559017300605774,0.6588472723960876,0.6671139597892761,0.6661409735679626
55,0.6881431937217712,0.6525682210922241,0.6470367312431335,0.659567654132843,0.6635380983352661,0.6642351746559143,0.6589211225509644,0.6611288189888,0.6661788821220398,0.6709076762199402
56,0.687205970287323,0.6514082551002502,0.6470522880554199,0.6592593193054199,0.6616238951683044,0.6660267114639282,0.6564927101135254,0.6632542610168457,0.669050395488739,0.6694567799568176
57,0.6880162358283997,0.6443611979484558,0.6490011215209961,0.6587353348731995,0.6634527444839478,0.6686165928840637,0.6590893268585205,0.6606107354164124,0.6702955365180969,0.6721386909484863
58,0.6887696981430054,0.6346141695976257,0.6502438187599182,0.6645237803459167,0.6632842421531677,0.6666932702064514,0.6634318232536316,0.6653725504875183,0.6696242094039917,0.6706761717796326
59,0.6889269948005676,0.6430102586746216,0.6516090035438538,0.6637794971466064,0.6641690135002136,0.6710860133171082,0.6616892218589783,0.6583408117294312,0.6701974272727966,0.6722796559333801
60,0.6898349523544312,0.6477343440055847,0.6517435312271118,0.6621410250663757,0.666777491569519,0.6630539894104004,0.6622200608253479,0.6645970344543457,0.6709904074668884,0.6749951243400574
61,0.6882731914520264,0.6447610259056091,0.6494631767272949,0.6635445356369019,0.6672088503837585,0.6721090078353882,0.6615837812423706,0.6646174192428589,0.6716820597648621,0.6728114485740662
62,,,0.653403639793396,0.6642262935638428,0.6674731373786926,0.6729879975318909,0.6623635292053223,0.6687372326850891,0.671107292175293,0.6742381453514099
63,,,0.6545414328575134,0.6659180521965027,0.6689053177833557,0.6729141473770142,0.663663387298584,0.6681200265884399,0.6705912351608276,0.6722821593284607
64,,,0.6542192697525024,0.6673634052276611,0.6688584685325623,0.6720224618911743,0.6656110286712646,0.6681250333786011,0.6730951070785522,0.6748864054679871
65,,,0.656893789768219,0.667609453201294,0.6701606512069702,0.6721283793449402,0.6659260392189026,0.6682797074317932,0.6742064356803894,0.6794458627700806
66,,,0.6580575704574585,0.6698378324508667,0.6702530384063721,0.6742745637893677,0.6674107313156128,0.6676285266876221,0.6738683581352234,0.6746861338615417
67,,,0.6592592597007751,0.667242705821991,0.6695858836174011,0.6742294430732727,0.6667851805686951,0.6662968993186951,0.6743388175964355,0.6788619160652161
68,,,0.6596561670303345,0.668801486492157,0.6727277040481567,0.6737531423568726,0.6653555035591125,0.6682218313217163,0.678463876247406,0.6786882877349854
69,,,0.6584703922271729,0.6712530255317688,0.674019992351532,0.6784750819206238,0.6672520041465759,0.6689008474349976,0.6780147552490234,0.679550051689148
70,,,0.660529375076294,0.672084629535675,0.6721881031990051,0.6790191531181335,0.6681874990463257,0.6716898083686829,0.6777122020721436,0.6816598773002625
71,,,0.6633215546607971,0.6726815104484558,0.6755726933479309,0.6755768060684204,0.6688002347946167,0.6754608750343323,0.6774075627326965,0.6772667169570923
72,,,0.6593694686889648,0.6727389097213745,0.674058735370636,0.6741111874580383,0.6685711741447449,0.6700763702392578,0.6775330305099487,0.6782128810882568
