encoder,params,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou,ow_precision,ow_recall,ow_f1,ow_iou
botnet26t_256,22976409,0.9584479256281776,0.8385317013257302,0.8483526461243478,0.8434135852338116,0.9751771576699862,0.7292266055228681,0.5248314492137592,0.5315673361924572,0.5269084087668654,0.6917750531123344
halonet26t_256,18586809,0.957269759405227,0.8320975413438915,0.8477637363153391,0.8398575882545029,0.9739473254466896,0.7239262867658565,0.5073888954596437,0.5185450755300781,0.5111922477387366,0.6812801303799059
lambda_resnet26t_256,17920377,0.9601795862591456,0.8431966434888267,0.8553542610174681,0.8492319423225412,0.975997521625238,0.7379696861212033,0.5265513230057407,0.5371559289269735,0.5299813259075972,0.6911851585952633
resnet34_256,24430097,0.9514280954996744,0.8154059560607116,0.8183862803806452,0.8168933999028735,0.9717293210204062,0.6904647475010375,0.4734390316007385,0.4659069960124369,0.468810228743707,0.6486084088205663
swinnet26t_256,19349689,0.9577686673118956,0.8402686637720533,0.8392091430009606,0.8397385691801662,0.9757734017891628,0.7237494472145057,0.5200485870128652,0.5244634488575328,0.5212559761182348,0.6864688343751405
