,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
10,15.4,7.6,7.6,0.6695652173913044,0.6695652173913044,0.6695652173913044,0.5659301575330987,0.7700819878424972,0.0,0.0,6968.0,56731.0,589.0,1248.0,0.9719696044921875,0.9220590181288871,0.8481012658227848,0.8835351550117289,0.9897243545010468,0.7913685406019307
11,15.6,11.4,10.4,0.5777777777777777,0.6,0.588679245283019,0.47824591692325014,0.7758727851211809,0.0,0.0,8589.0,54557.0,1015.0,1375.0,0.963531494140625,0.8943148688046647,0.8620032115616219,0.8778618152085037,0.9817354063197293,0.7823116859458967
12,12.4,12.6,10.6,0.496,0.5391304347826087,0.5166666666666667,0.4075189097263201,0.6908518196847087,0.0,1.0,6128.0,56745.0,965.0,1698.0,0.9593658447265625,0.8639503736077824,0.7830309225658063,0.8215027816877807,0.9832784612718766,0.6970765555681947
13,15.1,14.9,10.9,0.5033333333333333,0.5807692307692307,0.5392857142857143,0.4292671231589053,0.7627595057873008,0.0,0.0,7712.0,55399.0,1376.0,1049.0,0.9629974365234375,0.8485915492957746,0.8802648099532017,0.8641380469494089,0.9757639806252753,0.760777350300878
14,17.0,7.0,10.0,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.5756491382647817,0.7355899515827813,0.0,0.0,7138.0,56781.0,773.0,844.0,0.9753265380859375,0.9022879534824927,0.8942620897018291,0.8982570943182533,0.9865691350731487,0.8153055396916048
15,6.1,8.9,8.9,0.4066666666666666,0.4066666666666666,0.4066666666666666,0.2877339901477832,0.6033582667474058,1.0,1.0,4365.0,59355.0,1126.0,690.0,0.9722900390625,0.7949371699144054,0.8635014836795252,0.8278020102408497,0.9813825829599379,0.7061964083481638
16,26.3,12.7,11.7,0.6743589743589744,0.6921052631578947,0.6831168831168831,0.5972144953821782,0.8101943493475773,0.0,0.0,9783.0,53776.0,1285.0,692.0,0.9698333740234375,0.8838995301770871,0.9339379474940334,0.9082300515248573,0.9766622473256933,0.8318877551020408
17,17.4,14.6,11.6,0.54375,0.6,0.5704918032786885,0.4537905868384756,0.7790590073965485,0.0,2.0,8054.0,55598.0,984.0,900.0,0.97125244140625,0.8911263553883603,0.8994862631226268,0.8952867941307248,0.9826093103813934,0.8104246327228819
18,16.4,12.6,11.6,0.5655172413793104,0.5857142857142857,0.5754385964912281,0.4661654822813774,0.7497253339116502,0.0,2.0,8669.0,54544.0,856.0,1467.0,0.9645538330078125,0.9101312335958005,0.8552683504340963,0.8818473119373379,0.9845487364620938,0.7886644832605532
19,16.1,9.9,9.9,0.6192307692307691,0.6192307692307691,0.6192307692307691,0.5407395713271452,0.770966401204764,0.0,0.0,8510.0,54426.0,1332.0,1268.0,0.9603271484375,0.8646616541353384,0.8703211290652485,0.8674821610601428,0.9761110513289573,0.765976597659766
20,15.7,10.3,11.3,0.6038461538461538,0.5814814814814815,0.5924528301886793,0.4794505607826105,0.7065370664455869,0.0,0.0,9004.0,54072.0,895.0,1565.0,0.96246337890625,0.9095868269522174,0.8519254423313464,0.879812390072308,0.9837175032292103,0.7854152128401954
