,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
20,10.9,13.1,17.1,0.4541666666666667,0.3892857142857143,0.41923076923076924,0.3130875343294698,0.5998030791676241,0.0,0.0,6669.0,55689.0,1177.0,2001.0,0.951507568359375,0.849987254652052,0.769204152249135,0.8075805279728748,0.9793022192522772,0.6772621102873971
21,4.0,4.0,5.0,0.5,0.4444444444444445,0.47058823529411764,0.358041958041958,0.5910137909080745,0.0,0.0,1734.0,63129.0,209.0,464.0,0.9897308349609375,0.8924343798250128,0.7888989990900819,0.8374788698382033,0.9967002431399792,0.7203988367262152
22,15.8,9.2,5.2,0.632,0.7523809523809524,0.6869565217391305,0.6001894239455215,0.8493475494266842,0.0,0.0,8194.0,55650.0,964.0,728.0,0.97418212890625,0.8947368421052632,0.9184039453037436,0.9064159292035399,0.982972409651323,0.8288488772000809
23,4.7,2.3,3.3,0.6714285714285714,0.5875,0.6266666666666667,0.544551282051282,0.7090057183719447,0.0,0.0,1627.0,63524.0,179.0,206.0,0.9941253662109375,0.9008859357696567,0.8876159301691217,0.8942017037647706,0.9971900852393137,0.808648111332008
24,10.4,10.6,11.6,0.49523809523809526,0.47272727272727266,0.48372093023255813,0.37847038684243767,0.6498319459435223,0.0,0.0,6311.0,57236.0,1105.0,884.0,0.9696502685546875,0.8509978425026968,0.8771369006254344,0.863869687221956,0.98105963216263,0.7603614457831326
25,15.8,20.2,19.2,0.43888888888888883,0.4514285714285714,0.44507042253521123,0.32174560501134714,0.6378750619165316,0.0,0.0,7518.0,54347.0,1952.0,1719.0,0.9439849853515625,0.7938753959873284,0.8139006170834686,0.8037632971614903,0.9653279809588092,0.671909911520243
26,11.1,21.9,22.9,0.33636363636363636,0.3264705882352941,0.3313432835820896,0.22273396220853847,0.5685616874239641,1.0,0.0,7674.0,53801.0,1996.0,2065.0,0.9380340576171875,0.79358841778697,0.7879659102577267,0.7907671698696481,0.9642274674265642,0.653941201533873
27,1.4,4.6,2.6,0.2333333333333333,0.35,0.28,0.17222222222222222,0.42001759533204375,0.0,0.0,991.0,64041.0,183.0,321.0,0.9923095703125,0.84412265758092,0.7553353658536586,0.7972646822204345,0.9971505979073244,0.662876254180602
28,22.3,60.7,65.7,0.26867469879518074,0.2534090909090909,0.2608187134502924,0.1671364839533655,0.49993961233540746,8.0,1.0,13554.0,41886.0,5492.0,4604.0,0.845947265625,0.7116454898666387,0.7464478466791497,0.72863132996452,0.8840812191312424,0.573107822410148
29,20.0,49.0,53.0,0.2898550724637681,0.273972602739726,0.2816901408450704,0.18273358122389835,0.515170569816574,8.0,4.0,12154.0,45935.0,4849.0,2598.0,0.8863677978515625,0.7148150326412986,0.8238882863340564,0.7654857502755471,0.9045171707624449,0.6200704045711953
30,20.1,52.9,60.9,0.2753424657534247,0.24814814814814817,0.26103896103896107,0.16794330590250067,0.5074333677866925,8.0,2.0,11801.0,46202.0,4095.0,3438.0,0.8850555419921875,0.7423880221439356,0.7743946453179342,0.758053637385579,0.9185836133367795,0.6103755042929554
31,24.8,53.2,54.2,0.317948717948718,0.3139240506329114,0.3159235668789809,0.2088795609700984,0.5446906963884446,6.0,5.0,14040.0,42891.0,4779.0,3826.0,0.8686981201171875,0.7460545193687231,0.7858502182917273,0.7654354640861387,0.8997482693517935,0.6200044159858689
32,18.1,53.9,51.9,0.2513888888888889,0.25857142857142856,0.2549295774647887,0.16258426538877707,0.49434904463343,5.0,5.0,12386.0,45061.0,4925.0,3164.0,0.8765716552734375,0.7154988157818728,0.7965273311897106,0.7538419402939655,0.9014724122754372,0.6049328449328449
33,22.5,56.5,59.5,0.2848101265822785,0.274390243902439,0.2795031055900621,0.18150658791347576,0.5287316381880887,8.0,7.0,14787.0,43449.0,4369.0,2931.0,0.88861083984375,0.7719252453539361,0.8345750084659668,0.802028529587243,0.9086327324438496,0.6694888395888985
34,19.6,51.4,60.4,0.276056338028169,0.24500000000000002,0.2596026490066225,0.16524361827196263,0.49612442210252067,8.0,6.0,14260.0,42852.0,4600.0,3824.0,0.8714599609375,0.7560975609756098,0.7885423578854236,0.7719792117799913,0.9030599342493467,0.6286369247046376
35,17.8,49.2,60.2,0.2656716417910448,0.2282051282051282,0.24551724137931036,0.15432113941468767,0.49450836652205854,10.0,1.0,11852.0,46370.0,4103.0,3211.0,0.888397216796875,0.7428392353494202,0.7868286529907721,0.7642014314269134,0.9187090127394845,0.6183867264948346
36,16.8,40.2,51.2,0.2947368421052632,0.24705882352941178,0.26880000000000004,0.17034524486414912,0.47328761414133325,4.0,1.0,9853.0,48038.0,3674.0,3971.0,0.8833465576171875,0.7283950617283951,0.7127459490740741,0.7204855398340098,0.9289526608910891,0.5630929249057035
37,20.8,44.2,43.2,0.32,0.325,0.3224806201550388,0.2150711862331991,0.5624649412570996,2.0,4.0,11929.0,47916.0,2969.0,2722.0,0.9131622314453125,0.8007115048999865,0.8142106340864105,0.80740464990355,0.9416527463889162,0.6770147559591373
38,18.9,34.1,38.1,0.35660377358490564,0.3315789473684211,0.34363636363636363,0.23328814595215913,0.567751561128102,4.0,3.0,10624.0,49609.0,3127.0,2176.0,0.9190826416015625,0.7725983564831649,0.83,0.8002711762268842,0.9407046419902912,0.6670433854460979
39,21.3,10.7,9.7,0.665625,0.6870967741935484,0.6761904761904762,0.5880444852194079,0.7881230330473967,0.0,0.0,5815.0,58468.0,709.0,544.0,0.9808807373046875,0.8913243408951563,0.9144519578550087,0.9027400450205697,0.98801899386586,0.8227221279003961
40,15.7,34.3,38.3,0.314,0.29074074074074074,0.3019230769230769,0.19542123188047533,0.500616985682768,0.0,0.0,5940.0,54858.0,2108.0,2630.0,0.927703857421875,0.7380715705765407,0.6931155192532089,0.7148874714165363,0.9629954709826914,0.556283948304926
41,15.0,9.0,10.0,0.6250000000000001,0.6000000000000001,0.6122448979591837,0.5266632536738718,0.7464242725172683,0.0,0.0,6230.0,57659.0,721.0,926.0,0.9748687744140625,0.8962739174219537,0.8705980994969257,0.8832494506273482,0.9876498800959232,0.7909102450171385
